Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Kentucky	Southeastern	38-1	0.97436		1	3.07539	1	53.8864	14	94.5043	2	32.0833	2.63617	7	36.3074	
Duke	Atlantic Coast	35-4	0.89744	+4	2	3.01334	2	52.8305	3	99.0388	12	26.4938	1.97667	2	38.7984	
Wisconsin	Big 10	36-4	0.9		3	2.97931	3	52.351	9	95.5653	5	29.4892	3.29257	3	37.9446	
Arizona	Pac 12	34-4	0.89474	+1	4	2.79306	4	51.2957	7	96.39	7	27.6105	5.30589	15	35.5714	
Notre Dame	Atlantic Coast	32-6	0.84211	+2	5	2.77834	6	47.8704	4	98.7514	58	21.8212	1.54365	8	36.1764	
Gonzaga	West Coast	35-3	0.92105	-2	6	2.69621	7	47.6812	5	96.857	30	23.5274	2.53194	59	32.4718	
Villanova	Big East	33-3	0.91667	-5	7	2.68243	5	48.4084	13	94.9661	13	26.1475	3.76408	27	34.4325	
Virginia	Atlantic Coast	30-4	0.88235		8	2.59391	8	47.1187	133	84.4288	1	35.393	2.52818	12	35.8707	
North Carolina	Atlantic Coast	26-12	0.68421	+3	9	2.49795	9	45.2329	2	99.5016	111	18.4347	1.69154	1	38.7993	
Michigan St	Big 10	27-12	0.69231	+10	10	2.47932	11	43.6839	19	92.6185	28	23.7705	2.10553	5	36.8531	
Northern Iowa	Missouri Val	31-4	0.88571		11	2.43209	14	42.6933	87	86.2481	6	29.152	4.00227	78	30.9573	
Louisville	Atlantic Coast	27-9	0.75	+5	12	2.42699	12	43.1246	53	88.8165	9	27.0102	2.3934	6	36.4034	
Wichita St	Missouri Val	30-5	0.85714	+10	13	2.38772	15	42.6467	48	89.3684	14	25.9852	4.62824	70	31.6263	
Utah	Pac 12	26-9	0.74286	+7	14	2.38242	10	45.1159	72	87.2871	3	30.5331	5.25925	20	35.0614	
Kansas	Big 12	27-9	0.75	-5	15	2.37864	13	42.8413	20	92.5564	38	22.9884	5.43977	4	37.4508	
Iowa St	Big 12	25-9	0.73529	-7	16	2.31745	17	41.0807	8	96.0219	124	17.762	5.14936	18	35.2052	
Maryland	Big 10	28-7	0.8	-3	17	2.29701	31	38.3982	76	87.1969	26	23.9044	4.04806	36	33.7816	
Oregon	Pac 12	26-10	0.72222	+8	18	2.28524	32	38.3883	15	94.2358	147	16.8584	5.05575	37	33.7755	
Arkansas	Southeastern	27-9	0.75	-6	19	2.27388	23	39.5535	10	95.3959	146	16.8601	2.7213	43	33.629	
Oklahoma	Big 12	24-11	0.68571	-4	20	2.27098	16	42.3817	37	90.6541	23	24.4305	4.84385	10	35.9191	
West Virginia	Big 12	25-10	0.71429	+4	21	2.23723	28	38.9642	26	91.7916	89	19.8776	4.55004	21	34.8265	
NC State	Atlantic Coast	22-14	0.61111	+16	22	2.22871	24	39.4465	36	90.7371	65	21.4119	2.83313	9	36.142	
