Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		SSF		EW	EL	
Gonzaga	West Coast	32-1	0.9697		1	2.97457	1	56.0009	6	103.928	11	28.829	1.72131	64	34.9658	64	34.9658	0	0	
Kansas	Big 12	28-3	0.90323		2	2.88481	3	51.1794	4	104.443	49	23.4911	3.58785	1	40.9667	1	40.9311	0.8261	0.1739	
Villanova	Big East	28-3	0.90323		3	2.80953	2	52.6447	28	98.595	4	30.8059	2.89963	19	38.8218	20	38.6825	0.9381	0.0619	
UCLA	Pac 12	28-3	0.90323		4	2.69511	8	49.4682	1	109.565	165	16.6654	3.5559	59	35.7576	55	35.8551	0.8116	0.1884	
Kentucky	Southeastern	26-5	0.83871		5	2.69421	4	50.7498	3	105.884	69	21.6234	3.55298	12	39.1696	12	39.1696	0	0	
North Carolina	Atlantic Coast	26-6	0.8125		6	2.63566	7	49.4712	5	104.061	65	22.1667	5.14113	11	39.4825	11	39.5805	0.7172	0.2828	
Arizona	Pac 12	27-4	0.87097	+1	7	2.61255	15	47.5985	51	95.4388	10	28.9189	3.46641	45	36.5761	45	36.5712	0.8225	0.1775	
Baylor	Big 12	25-6	0.80645	+4	8	2.60431	11	48.7952	71	93.6667	3	31.8838	3.82166	9	39.769	9	39.8473	0.7112	0.2888	
Florida	Southeastern	24-7	0.77419	-2	9	2.59536	5	50.5694	22	99.7214	17	27.6051	3.49795	6	40.1491	6	40.1491	0	0	
Oregon	Pac 12	27-4	0.87097		10	2.58118	17	47.4357	31	97.871	27	26.3244	4.81632	56	35.855	58	35.7454	0.8958	0.1042	
Louisville	Atlantic Coast	24-7	0.77419	-2	11	2.56273	12	48.2484	30	98.059	21	26.9461	5.12351	4	40.3551	3	40.58	0.5399	0.4601	
West Virginia	Big 12	24-7	0.77419	-1	12	2.56262	6	50.1663	8	103.335	48	23.5874	3.63765	14	39.0355	17	38.9434	0.8825	0.1175	
Wichita St	Missouri Val	30-4	0.88235	+7	13	2.5606	9	49.412	18	100.304	31	25.8696	4.2982	91	31.7625	91	31.7625	0	0	
SMU	American Athletic	27-4	0.87097		14	2.54198	13	47.7189	57	95.1887	9	29.2911	4.32158	75	33.663	75	33.663	0	0	
St Mary's CA	West Coast	28-4	0.875	-2	15	2.53129	14	47.6298	142	90.2837	2	34.1042	1.95824	76	33.6235	76	33.6235	0	0	
Purdue	Big 10	25-6	0.80645	+1	16	2.52029	16	47.5907	24	99.561	39	24.7867	4.14645	32	37.3607	34	37.3607	0	0	
Duke	Atlantic Coast	24-8	0.75	-2	17	2.50838	18	47.061	21	100.069	45	23.7485	4.46755	7	39.8659	7	40.1334	0.46	0.54	
Virginia	Atlantic Coast	22-9	0.70968	+5	18	2.4746	10	48.8919	207	87.3731	1	38.2774	4.15971	3	40.3993	4	40.5319	0.6484	0.3516	
Cincinnati	American Athletic	27-4	0.87097	+5	19	2.46869	23	45.4955	102	92.0876	7	30.1694	4.21684	73	33.9844	73	33.9844	0	0	
Florida St	Atlantic Coast	24-7	0.77419	-2	20	2.45219	20	45.8839	14	101.397	73	21.242	5.64502	21	38.4201	23	38.5182	0.645	0.355	
Iowa St	Big 12	20-10	0.66667	+1	21	2.43506	22	45.7029	16	100.588	67	21.8704	3.74225	2	40.4141	2	40.6196	0.4687	0.5313	
Butler	Big East	23-7	0.76667	-6	22	2.428	21	45.7372	32	97.7263	40	24.7656	3.27176	16	39.0195	14	39.0366	0.6977	0.3023	
Oklahoma St	Big 12	20-11	0.64516	-4	23	2.40494	19	46.6244	2	106.725	166	16.6563	2.99725	5	40.3207	5	40.4935	0.5313	0.4687	
Notre Dame	Atlantic Coast	23-8	0.74194	-3	24	2.39766	25	44.4844	29	98.1972	58	23.0419	4.47939	27	37.9893	25	38.3447	0.3516	0.6484	
Maryland	Big 10	24-7	0.77419	+5	25	2.33779	29	42.6915	49	95.6215	44	23.8269	1.80197	51	36.3644	52	36.3644	0	0	
Minnesota	Big 10	23-8	0.74194	+1	26	2.32924	28	43.3627	37	96.9711	55	23.1479	3.13321	33	37.3353	35	37.3353	0	0	
Wisconsin	Big 10	23-8	0.74194	-2	27	2.32855	26	44.3666	139	90.4438	5	30.6799	4.08299	38	37.0469	38	37.0469	0	0	
Miami FL	Atlantic Coast	21-10	0.67742	-2	28	2.3125	30	42.619	175	88.8693	6	30.5076	4.47825	24	38.2714	21	38.6241	0.2827	0.7173	
Creighton	Big East	23-8	0.74194	-1	29	2.29897	24	44.5642	15	101.127	91	20.194	2.8979	40	36.8168	40	36.9265	0.6423	0.3577	
Virginia Tech	Atlantic Coast	22-9	0.70968	+1	30	2.29784	38	41.4742	23	99.6648	120	18.5612	4.10651	34	37.2873	31	37.5599	0.355	0.645	
Arkansas	Southeastern	23-8	0.74194	+1	31	2.27574	35	41.9767	20	100.192	121	18.5425	3.58853	50	36.3696	51	36.3696	0	0	
Dayton	Atlantic 10	24-6	0.8	-3	32	2.25086	34	42.1574	48	95.8303	57	23.0875	3.15905	81	33.0067	81	33.0067	0	0	
Michigan	Big 10	20-11	0.64516	+1	33	2.22954	27	43.4816	61	94.7117	34	25.5254	3.50207	30	37.7112	30	37.7408	0.6588	0.3412	
South Carolina	Southeastern	22-9	0.70968	-1	34	2.21495	33	42.2193	105	92.038	22	26.9385	3.8274	47	36.4308	48	36.4308	0	0	
Seton Hall	Big East	20-10	0.66667	+7	35	2.21068	44	39.9597	70	93.7364	59	22.9813	3.6471	37	37.0517	37	37.2299	0.4143	0.5857	
Kansas St	Big 12	19-12	0.6129	+3	36	2.20999	32	42.253	81	93.0239	29	25.9854	3.06991	20	38.4554	19	38.7784	0.2887	0.7113	
Illinois St	Missouri Val	27-6	0.81818	-2	37	2.19357	47	39.6794	214	87.107	8	29.3368	3.78023	99	31.1601	99	31.1601	0	0	
Marquette	Big East	19-11	0.63333	+10	38	2.19086	31	42.5258	11	102.319	155	16.9648	3.85366	35	37.2759	33	37.3638	0.5857	0.4143	
Northwestern	Big 10	21-10	0.67742	-3	39	2.18834	40	41.1577	141	90.2962	16	27.6189	3.09506	44	36.6245	46	36.483	0.7877	0.2123	
Wake Forest	Atlantic Coast	19-13	0.59375	+7	40	2.17895	36	41.9462	7	103.565	200	15.1402	5.08673	18	38.8623	18	38.8623	0	0	
Providence	Big East	20-11	0.64516	+4	41	2.16541	41	40.2317	128	91.0829	30	25.9061	3.31286	46	36.549	43	36.8022	0.3577	0.6423	
VA Commonwealth	Atlantic 10	24-7	0.77419	-5	42	2.15712	43	40.0869	65	94.1119	61	22.7363	3.73767	83	32.8624	82	32.8624	0	0	
Vanderbilt	Southeastern	17-14	0.54839	+1	43	2.15023	39	41.375	92	92.5671	32	25.5675	3.24301	17	38.9913	16	38.9823	0.5907	0.4093	
UNC Wilmington	Colonial	29-5	0.85294	+13	44	2.1395	62	38.2944	12	102.158	242	12.8976	3.85562	128	28.6739	129	28.6739	0	0	
USC	Pac 12	24-8	0.75	+1	45	2.13723	55	38.8387	40	96.6903	112	18.9083	4.3751	70	34.0524	66	34.5153	0.1884	0.8116	
Xavier	Big East	20-12	0.625	-3	46	2.12747	48	39.5513	52	95.3885	78	20.9195	3.86558	23	38.3232	22	38.5445	0.3023	0.6977	
Vermont	America East	28-5	0.84848	+2	47	2.12116	54	38.8592	169	89.181	24	26.438	2.62316	176	26.6417	175	26.723	0.8214	0.1786	
MTSU	Conference USA	27-4	0.87097	-7	48	2.12046	53	38.8722	167	89.2226	25	26.4078	3.04012	140	28.0609	145	27.8817	0.927	0.073	
Georgia	Southeastern	18-13	0.58065	-9	49	2.11278	50	39.3967	89	92.7051	51	23.4504	2.31185	25	38.1234	27	38.1276	0.5383	0.4617	
Michigan St	Big 10	18-13	0.58065	-12	50	2.10934	42	40.1719	87	92.791	43	24.1384	4.09613	22	38.4151	24	38.3523	0.6253	0.3747	
Clemson	Atlantic Coast	17-15	0.53125	+3	51	2.09135	37	41.8365	56	95.1966	52	23.396	4.42714	15	39.0337	15	39.0337	0	0	
Nevada	Mountain West	25-6	0.80645	+9	52	2.08698	60	38.6024	33	97.5396	143	17.8212	3.8881	104	30.5878	104	30.5514	0.7771	0.2229	
Rhode Island	Atlantic 10	21-9	0.7	+3	53	2.07839	45	39.8262	119	91.3177	35	25.2728	2.07432	78	33.3701	78	33.3701	0	0	
ETSU	Southern	27-7	0.79412	+10	54	2.06693	66	37.8	62	94.6841	96	19.8746	2.21866	133	28.4201	133	28.4201	0	0	
Iowa	Big 10	18-13	0.58065	+15	55	2.06602	52	39.0568	19	100.235	191	15.58	3.64423	49	36.3835	47	36.4808	0.486	0.514	
TCU	Big 12	18-14	0.5625	-4	56	2.04299	46	39.7544	79	93.1626	53	23.3466	4.05078	28	37.9381	26	38.3143	0.1739	0.8261	
Illinois	Big 10	18-13	0.58065	-6	57	2.04279	59	38.6559	135	90.5617	38	24.8509	3.27797	43	36.7113	41	36.9218	0.3412	0.6588	
Houston	American Athletic	21-9	0.7	-5	58	2.03318	57	38.7686	104	92.0545	50	23.4763	3.86255	84	32.7846	83	32.7846	0	0	
