Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Michigan St	Big 10	32-7	0.82051	+3	1	2.5152	1	29.2774	17	82.6641	3	17.5058	5.67312	2	15.0485	
Iowa St	Big 12	32-5	0.86486	+3	2	2.18491	7	22.7326	11	83.2928	31	10.3443	4.8442	39	10.8597	
Florida	Southeastern	29-8	0.78378	+12	3	2.17509	4	24.4341	3	89.2515	85	6.07123	5.80691	10	13.1029	
Duke	Atlantic Coast	29-5	0.85294	-1	4	2.13562	5	23.9099	1	91.1776	124	3.62138	3.961	14	12.9651	
Cincinnati	Conference USA	29-4	0.87879	-3	5	2.09014	3	24.4531	13	83.0852	16	12.2673	5.1878	15	12.6434	
Stanford	Pac 10	27-4	0.87097	-5	6	2.01493	2	24.5817	21	81.8797	9	13.5922	3.97106	23	11.6036	
Tulsa	Western Athletic	32-5	0.86486	+7	7	1.92915	6	23.5257	24	81.2203	10	13.1903	4.26407	79	8.15072	
Oklahoma St	Big 12	27-7	0.79412	+4	8	1.89257	9	21.0713	41	78.9731	13	12.999	5.01868	20	11.8128	
Temple	Atlantic 10	27-6	0.81818	-3	9	1.85913	8	22.6823	118	73.9286	2	19.6496	4.257	24	11.5741	
LSU	Southeastern	28-6	0.82353		10	1.84755	18	18.9675	52	78.211	22	11.6479	5.08618	46	10.3928	
Wisconsin	Big 10	22-14	0.61111	+15	11	1.83776	12	20.4559	213	68.6869	1	22.6801	5.08544	1	16.1205	
Syracuse	Big East	26-6	0.8125	+4	12	1.83624	14	20.0549	25	80.9217	34	10.0303	4.48815	33	11.185	
Arizona	Pac 10	27-7	0.79412	-6	13	1.80538	13	20.121	12	83.2164	63	7.79145	4.31078	12	13.029	
Oklahoma	Big 12	27-7	0.79412	-6	14	1.78837	11	20.5013	51	78.2649	11	13.1358	4.84384	34	11.1602	
Purdue	Big 10	24-10	0.70588	+9	15	1.78012	19	18.9549	30	80.2456	40	9.60782	5.12292	8	13.2954	
Texas	Big 12	24-9	0.72727	-7	16	1.76685	10	20.6573	29	80.2704	24	11.2874	5.49488	7	13.6694	
North Carolina	Atlantic Coast	22-14	0.61111	+17	17	1.74927	15	19.3949	35	79.7231	29	10.5599	3.494	3	14.7732	
